"","lon","lat"
"590",-74.104864,41.9973144
"591",-98.4933873,33.9137085
"594",-81.6943605,41.49932
"595",-119.4179324,36.778261
"597",-77.0368707,38.9071923
"598",-83.0457538,42.331427
"599",-95.712891,37.09024
"600",-93.097702,41.8780025
"602",-95.712891,37.09024
"603",-119.4179324,36.778261
"606",-95.712891,37.09024
"608",-87.9033261,30.5229719
"610",-75.1652215,39.9525839
"612",-71.0588801,42.3600825
"613",-80.4706078,27.816415
"614",-74.0059728,40.7127753
"616",-74.0059728,40.7127753
"617",-79.3831843,43.653226
"618",-84.2207697,39.3150592
"620",-94.3985475,35.3859242
"621",-74.0059728,40.7127753
"622",-85.6502261,30.2099268
"623",-89.3985283,40.6331249
"629",-79.3831843,43.653226
"630",-77.0564464,18.0364134
"631",-90.4298401,38.7131073
"632",-81.1637245,33.836081
"634",-79.3831843,43.653226
"639",-110.3625658,46.8796822
"641",-81.5157535,27.6648274
"645",-83.9293952,42.6072552
"647",-97.5164276,35.4675602
"650",-79.1525349,40.6214551
"651",-74.6672226,40.3572976
"654",78.96288,20.593684
"656",-93.711332,41.5772115
"659",-93.206647,37.0203012
"663",-95.712891,37.09024
"664",-99.9018131,31.9685988
"666",-118.2992751,33.95962
"667",-83.7430378,42.2808256
"668",-74.0059728,40.7127753
"669",-99.9018131,31.9685988
"670",-81.5157535,27.6648274
"671",-97.6961026,26.1906306
"672",-95.712891,37.09024
"673",-112.0740373,33.4483771
"674",-76.915807,38.928167
"675",-73.9990269,40.372054
"677",-75.1298939,40.3101063
"678",-81.8067523,26.438136
"679",-84.3879824,33.7489954
"680",-106.346771,56.130366
"681",-99.9018131,43.9695148
"683",-95.712891,37.09024
"684",-97.092877,35.0077519
"689",-95.712891,37.09024
"695",-84.3879824,33.7489954
"696",-74.030094,41.937804
"698",-87.9064736,43.0389025
"699",-95.712891,37.09024
"700",-75.2135708,40.378402
"701",-91.9623327,30.9842977
"702",-80.8765205,41.2990487
"703",-89.3985283,32.3546679
"705",-97.586997,38.849122
"711",-104.990251,39.7392358
"714",-87.6620514,41.8897436
"716",22.937506,-30.559482
"717",-81.6943605,41.49932
"721",-90.1994042,38.6270025
"722",-81.8723084,26.640628
"723",-79.9748103,32.8546197
"724",-95.712891,37.09024
"727",-86.158068,39.768403
"728",-82.5748194,27.4989278
"730",-70.2589388,43.7964679
"732",-84.1916069,39.7589478
"733",-95.712891,37.09024
"734",-99.9018131,31.9685988
"735",-96.7969879,32.7766642
"736",-79.0416056,43.0871538
"742",-78.4766781,38.0293059
"743",-80.5764477,37.1317924
