"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2201","RT @getfiscal: Definitely want the guy who thought it was a great idea to bomb Libya to be in charge of all the health decisions of the USA…",FALSE,0,NA,2018-03-07 19:24:24,FALSE,NA,"971466612439175174",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fiieyonn",2,TRUE,FALSE,NA,NA
"2202","@SIR__BOO @Leisagay1962 Was your flu test positive?",FALSE,0,"SIR__BOO",2018-03-07 19:24:08,FALSE,"971465788824739843","971466545372319745","277658004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lynroz03",0,FALSE,FALSE,NA,NA
"2203","RT @medlineplus: RT @CDCFlu: #WellnessWednesday: Remind children to cover coughs &amp; sneezes and wash hands often to help stop the spread of…",FALSE,0,NA,2018-03-07 19:23:47,FALSE,NA,"971466459099598849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","9HealthFair",7,TRUE,FALSE,NA,NA
"2204","I already had the flu/cold this season and then I flew on an airplane and one of you monsters infected me with some… https://t.co/h2pmkM1zjD",FALSE,68,NA,2018-03-07 19:23:46,TRUE,NA,"971466455953952768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kibblesmith",3,FALSE,FALSE,NA,NA
"2205","RT @wonjae_twt: s.k has the highest number of suicides, depression is treated like a flu and with even  jonghyuns death which made a huge i…",FALSE,0,NA,2018-03-07 19:23:32,FALSE,NA,"971466395467726854",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nazirahmzaa",2,TRUE,FALSE,NA,NA
"2206","RT @getfiscal: Definitely want the guy who thought it was a great idea to bomb Libya to be in charge of all the health decisions of the USA…",FALSE,0,NA,2018-03-07 19:23:19,FALSE,NA,"971466340547682304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BagageHandeler",2,TRUE,FALSE,NA,NA
"2207","Here i was walking all Over Chicago to get my passport cold asl thinking i should've wore a real coat but then a bl… https://t.co/7T3DmAufOQ",FALSE,2,NA,2018-03-07 19:22:14,TRUE,NA,"971466069150924801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jerome_Daily",0,FALSE,FALSE,NA,NA
"2208","Forget flu, it's time for your fake-news jab - Financial Times",FALSE,0,NA,2018-03-07 19:21:43,FALSE,NA,"971465940281028609",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","celeb_fake_news",0,FALSE,FALSE,NA,NA
"2209","RT @KlasfeldReports: A nursing assistant risked getting fired for refusing a flu shot at a Wisconsin senior center on religious grounds.

S…",FALSE,0,NA,2018-03-07 19:21:07,FALSE,NA,"971465788132548608",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MsMariaT",5,TRUE,FALSE,NA,NA
"2210","we can’t give hugs because the flu is going around i’m shodnwh",FALSE,9,"hskinarry",2018-03-07 19:20:37,FALSE,"971465110073077761","971465663989641221","2493006212","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hskinarry",1,FALSE,FALSE,NA,NA
